uri,name,dynasty,ocre,AV,AR,AE,worn,notes,year
http://nomisma.org/id/tacitus,Tacitus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Tacitus%22,http://numismatics.org/collectionimages/19001949/1947/1947.2.399.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.33052.obv.width350.jpg,,http://numismatics.org/collectionimages/19501999/1995/1995.11.687.obv.width350.jpg,No AE images found,275 AD- 276 AD
http://nomisma.org/id/florianus,Florianus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Florianus%22,http://ww2.smb.museum/mk_edit/images/n1/1483/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.33082.obv.width350.jpg,,http://numismatics.org/collectionimages/19501999/1995/1995.39.79.obv.width350.jpg,No good AE images found,276 AD
http://nomisma.org/id/probus,Probus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Probus%22,http://ww2.smb.museum/mk_edit/images/n49/49351/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n18/18366/vs_opt.jpg|http://numismatics.org/collectionimages/19501999/1967/1967.153.88.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.33136.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1989/1989.11.27.obv.width350.jpg,,http://numismatics.org/collectionimages/19001949/1944/1944.100.33170.obv.width350.jpg,AE images found in BM,276 AD- 282 AD
http://nomisma.org/id/saturninus,Saturninus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Saturninus%22,,,,,No Examples found,280 AD
http://nomisma.org/id/bonosus,Bonosus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Bonosus%22,,,,,No Examples found,281 AD
http://nomisma.org/id/carus,Carus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Carus%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.90.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.36384.obv.width350.jpg,,,No AE images found,282 AD- 285 AD
http://nomisma.org/id/numerian,Numerian,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Numerian%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.203.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.36646.obv.width350.jpg,,,No AE images found,282 AD- 285 AD
http://nomisma.org/id/carinus,Carinus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Carinus%22,http://ww2.smb.museum/mk_edit/images/n53/53599/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n53/53594/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.36445.obv.width350.jpg,,,No AE images found,282 AD- 285 AD
http://nomisma.org/id/magnia_urbica,Magnia Urbica,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Magnia Urbica%22,http://ww2.smb.museum/mk_edit/images/n0/784/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n0/801/vs_opt.jpg,,http://numismatics.org/collectionimages/19001949/1944/1944.100.36597.obv.width350.jpg,,283 AD- 285 AD
http://nomisma.org/id/nigrinian,Nigrinian,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Nigrinian%22,http://ww2.smb.museum/mk_edit/images/n0/774/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n0/807/vs_opt.jpg,,http://numismatics.org/collectionimages/19001949/1944/1944.100.36667.obv.width350.jpg,,284 AD- 285 AD
